XVAL,YVAL,DENSITY
-10.0000,-1.8000,0.292372
-10.0000,-1.7000,0.598808
-10.0000,-1.6000,0.228316
-10.0000,-1.5000,0.447487
-10.0000,-1.4000,-0.067957
-10.0000,-1.3000,0.044556
-10.0000,-1.2000,0.304957
-10.0000,-1.1000,0.309471
-10.0000,-1.0000,0.227494
-10.0000,-0.9000,0.547909
-10.0000,-0.8000,0.597018
-10.0000,-0.7000,0.122264
-10.0000,-0.6000,0.528225
-10.0000,-0.5000,-0.029748
-10.0000,-0.4000,0.680650
-10.0000,-0.3000,0.603795
-10.0000,-0.2000,0.746744
-10.0000,-0.1000,0.460638
-10.0000,0.0000,-0.523802
-10.0000,0.1000,0.043553
-10.0000,0.2000,-0.270731
-10.0000,0.3000,-0.520727
-10.0000,0.4000,-0.389339
-10.0000,0.5000,-0.544140
-10.0000,0.6000,-0.599798
-10.0000,0.7000,-0.231389
-10.0000,0.8000,-0.431110
-10.0000,0.9000,-0.119678
-10.0000,1.0000,-0.295050
-10.0000,1.1000,-0.169069
-10.0000,1.2000,-0.298838
-10.0000,1.3000,-0.330593
-10.0000,1.4000,-0.452939
-10.0000,1.5000,-0.690489
-10.0000,1.6000,-0.728837
-10.0000,1.7000,0.076115
-10.0000,1.8000,-0.341324
-10.0000,1.9000,-0.207334
-10.0000,2.0000,0.189706
-10.0000,2.1000,-0.680361
-10.0000,2.2000,-0.442896
-10.0000,2.3000,-0.114849
-10.0000,2.4000,0.007630
-10.0000,2.5000,-0.333632
-10.0000,2.6000,-0.160632
-10.0000,2.7000,-0.437239
-10.0000,2.8000,-0.640459
-10.0000,2.9000,-0.222489
-10.0000,3.0000,-0.668711
-10.0000,3.1000,-0.588988
-10.0000,3.2000,-0.705263
-10.0000,3.3000,-0.382372
-10.0000,3.4000,-0.310045
-10.0000,3.5000,-0.493402
-10.0000,3.6000,-0.550019
-10.0000,3.7000,-0.440149
-10.0000,3.8000,-0.117977
-10.0000,3.9000,-0.437967
-10.0000,4.0000,-0.380288
-10.0000,4.1000,-0.148593
-10.0000,4.2000,-0.276318
-10.0000,4.3000,-0.291780
-10.0000,4.4000,0.028854
-10.0000,4.5000,0.015858
-10.0000,4.6000,-0.265702
-10.0000,4.7000,-0.269653
-10.0000,4.8000,-0.464444
-10.0000,4.9000,-0.006201
-10.0000,5.0000,-0.341927
-10.0000,5.1000,-0.217068
-10.0000,5.2000,-0.327383
-10.0000,5.3000,0.062106
-10.0000,5.4000,-0.439787
-10.0000,5.5000,-0.166538
-10.0000,5.6000,-0.378458
-10.0000,5.7000,-0.543428
-10.0000,5.8000,-0.161050
-10.0000,5.9000,-0.541046
-10.0000,6.0000,0.053261
-10.0000,6.1000,-0.175855
-10.0000,6.2000,-0.526319
-10.0000,6.3000,-0.301189
-10.0000,6.4000,0.072237
-10.0000,6.5000,-0.274067
-10.0000,6.6000,0.107309
-10.0000,6.7000,-0.050426
-10.0000,6.8000,-0.097207
-10.0000,6.9000,-0.446501
-10.0000,7.0000,-0.155917
-10.0000,7.1000,-0.158149
-10.0000,7.2000,0.108995
-10.0000,7.3000,-0.372598
-10.0000,7.4000,-0.089664
-10.0000,7.5000,-0.008724
-10.0000,7.6000,-0.558735
-10.0000,7.7000,-0.223428
-10.0000,7.8000,-0.296919
-10.0000,7.9000,-0.607645
-10.0000,8.0000,-0.673769
-10.0000,8.1000,-0.527535
-10.0000,8.2000,-0.060242
-10.0000,8.3000,-0.457942
-10.0000,8.4000,-0.359659
-10.0000,8.5000,-0.128032
-10.0000,8.6000,-0.214801
-10.0000,8.7000,-0.335543
-10.0000,8.8000,-0.733650
-10.0000,8.9000,-0.575588
-10.0000,9.0000,-0.075282
-10.0000,9.1000,-0.067002
-10.0000,9.2000,-0.117154
-10.0000,9.3000,-0.181330
-10.0000,9.4000,-0.050938
-10.0000,9.5000,-0.640531
-10.0000,9.6000,-0.705467
-10.0000,9.7000,-0.623080
-10.0000,9.8000,-0.015471
-10.0000,9.9000,-0.480005
-10.0000,10.0000,-0.334156
-9.9000,-10.0000,0.229918
-9.9000,-9.9000,0.009249
-9.9000,-9.8000,0.501036
-9.9000,-9.7000,0.049659
-9.9000,-9.6000,0.284472
-9.9000,-9.5000,0.092375
-9.9000,-9.4000,0.567879
-9.9000,-9.3000,-0.151914
-9.9000,-9.2000,0.040925
-9.9000,-9.1000,0.062228
-9.9000,-9.0000,0.157459
-9.9000,-8.9000,0.136151
-9.9000,-8.8000,0.205686
-9.9000,-8.7000,0.483174
-9.9000,-8.6000,0.454752
-9.9000,-8.5000,0.716124
-9.9000,-8.4000,0.557101
-9.9000,-8.3000,0.561808
-9.9000,-8.2000,-0.117826
-9.9000,-8.1000,0.456614
-9.9000,-8.0000,0.019774
-9.9000,-7.9000,0.220421
-9.9000,-7.8000,0.597231
-9.9000,-7.7000,0.130486
-9.9000,-7.6000,0.185759
-9.9000,-7.5000,0.285606
-9.9000,-7.4000,0.581264
-9.9000,-7.3000,0.435403
-9.9000,-7.2000,0.607087
-9.9000,-7.1000,0.437962
-9.9000,-7.0000,0.535504
-9.9000,-6.9000,0.305953
-9.9000,-6.8000,0.020808
-9.9000,-6.7000,0.424583
-9.9000,-6.6000,0.053376
-9.9000,-6.5000,-0.012277
-9.9000,-6.4000,0.559531
-9.9000,-6.3000,0.186362
-9.9000,-6.2000,0.620494
-9.9000,-6.1000,0.691794
-9.9000,-6.0000,0.506147
-9.9000,-5.9000,0.141145
-9.9000,-5.8000,0.529000
-9.9000,-5.7000,0.192504
-9.9000,-5.6000,0.055150
-9.9000,-5.5000,0.530393
-9.9000,-5.4000,-0.000949
-9.9000,-5.3000,0.272889
-9.9000,-5.2000,0.436285
-9.9000,-5.1000,0.664251
-9.9000,-5.0000,0.655599
-9.9000,-4.9000,0.455921
-9.9000,-4.8000,0.325987
-9.9000,-4.7000,0.007560
-9.9000,-4.6000,-0.128783
-9.9000,-4.5000,0.009117
-9.9000,-4.4000,0.513540
-9.9000,-4.3000,0.218074
-9.9000,-4.2000,-0.149197
-9.9000,-4.1000,0.281342
-9.9000,-4.0000,0.096797
-9.9000,-3.9000,0.586118
-9.9000,-3.8000,0.190496
-9.9000,-3.7000,0.148120
-9.9000,-3.6000,-0.121413
-9.9000,-3.5000,0.441509
-9.9000,-3.4000,0.650473
-9.9000,-3.3000,0.040128
-9.9000,-3.2000,0.231816
-9.9000,-3.1000,0.403204
-9.9000,-3.0000,0.619770
-9.9000,-2.9000,0.295274
-9.9000,-2.8000,0.575998
-9.9000,-2.7000,0.687029
-9.9000,-2.6000,0.196324
-9.9000,-2.5000,0.529196
-9.9000,-2.4000,0.174885
-9.9000,-2.3000,0.469160
-9.9000,-2.2000,0.406275
-9.9000,-2.1000,0.157471
-9.9000,-2.0000,0.756139
-9.9000,-1.9000,0.181553
-9.9000,-1.8000,0.182199
-9.9000,-1.7000,-0.170368
-9.9000,-1.6000,0.171004
-9.9000,-1.5000,0.735054
-9.9000,-1.4000,-0.055426
-9.9000,-1.3000,0.380580
-9.9000,-1.2000,0.545539
-9.9000,-1.1000,0.359928
-9.9000,-1.0000,0.506337
-9.9000,-0.9000,0.547166
-9.9000,-0.8000,-0.082263
-9.9000,-0.7000,0.684551
-9.9000,-0.6000,0.603118
-9.9000,-0.5000,0.176943
-9.9000,-0.4000,0.355821
-9.9000,-0.3000,-0.072473
-9.9000,-0.2000,0.542903
-9.9000,-0.1000,-0.001126
-9.9000,0.0000,-0.267681
-9.9000,0.1000,0.049816
-9.9000,0.2000,-0.691569
-9.9000,0.3000,-0.318098
-9.9000,0.4000,0.056716
-9.9000,0.5000,-0.058835
-9.9000,0.6000,-0.345114
-9.9000,0.7000,-0.083280
-9.9000,0.8000,-0.492585
-9.9000,0.9000,-0.621049
-9.9000,1.0000,0.110642
-9.9000,1.1000,-0.591285
-9.9000,1.2000,-0.382209
-9.9000,1.3000,-0.598249
-9.9000,1.4000,-0.323315
-9.9000,1.5000,-0.044004
-9.9000,1.6000,-0.584821
-9.9000,1.7000,-0.199910
-9.9000,1.8000,-0.589245
-9.9000,1.9000,-0.218657
-9.9000,2.0000,-0.393379
-9.9000,2.1000,0.083672
-9.9000,2.2000,0.091034
-9.9000,2.3000,-0.287212
-9.9000,2.4000,0.012684
-9.9000,2.5000,-0.479330
-9.9000,2.6000,-0.038469
-9.9000,2.7000,-0.452202
-9.9000,2.8000,-0.420184
-9.9000,2.9000,-0.214485
-9.9000,3.0000,-0.442379
-9.9000,3.1000,-0.629975
-9.9000,3.2000,-0.577665
-9.9000,3.3000,0.021654
-9.9000,3.4000,0.028101
-9.9000,3.5000,-0.330411
-9.9000,3.6000,-0.598500
-9.9000,3.7000,-0.431859
-9.9000,3.8000,0.042370
-9.9000,3.9000,-0.466603
-9.9000,4.0000,-0.556866
-9.9000,4.1000,-0.201730
-9.9000,4.2000,0.150399
-9.9000,4.3000,-0.481840
-9.9000,4.4000,-0.471942
-9.9000,4.5000,-0.186402
-9.9000,4.6000,-0.444435
-9.9000,4.7000,0.000141
-9.9000,4.8000,-0.019751
-9.9000,4.9000,-0.214699
-9.9000,5.0000,-0.284875
-9.9000,5.1000,-0.461527
-9.9000,5.2000,-0.309627
-9.9000,5.3000,0.135439
-9.9000,5.4000,-0.318506
-9.9000,5.5000,-0.345326
-9.9000,5.6000,-0.595617
-9.9000,5.7000,-0.627693
-9.9000,5.8000,-0.558102
-9.9000,5.9000,-0.129529
-9.9000,6.0000,-0.289079
-9.9000,6.1000,-0.450450
-9.9000,6.2000,-0.244141
-9.9000,6.3000,-0.165402
-9.9000,6.4000,0.011650
-9.9000,6.5000,-0.655425
-9.9000,6.6000,-0.473787
-9.9000,6.7000,0.107531
-9.9000,6.8000,-0.069553
-9.9000,6.9000,-0.155469
-9.9000,7.0000,-0.185837
-9.9000,7.1000,-0.499010
-9.9000,7.2000,-0.380726
-9.9000,7.3000,-0.632677
-9.9000,7.4000,-0.269129
-9.9000,7.5000,0.013555
-9.9000,7.6000,0.099027
-9.9000,7.7000,0.059119
-9.9000,7.8000,-0.073773
-9.9000,7.9000,-0.642099
-9.9000,8.0000,-0.069010
-9.9000,8.1000,-0.415109
-9.9000,8.2000,-0.720613
-9.9000,8.3000,-0.257832
-9.9000,8.4000,-0.166215
-9.9000,8.5000,0.160868
-9.9000,8.6000,-0.180121
-9.9000,8.7000,-0.583660
-9.9000,8.8000,-0.084809
-9.9000,8.9000,-0.234762
-9.9000,9.0000,-0.158115
-9.9000,9.1000,-0.321097
-9.9000,9.2000,-0.482079
-9.9000,9.3000,-0.411268
-9.9000,9.4000,-0.078764
-9.9000,9.5000,-0.476583
-9.9000,9.6000,0.151771
-9.9000,9.7000,-0.501487
-9.9000,9.8000,-0.684664
-9.9000,9.9000,-0.275582
-9.9000,10.0000,-0.051137
-9.8000,-10.0000,0.459331
-9.8000,-9.9000,0.516457
-9.8000,-9.8000,0.423011
-9.8000,-9.7000,0.340774
-9.8000,-9.6000,0.326315
-9.8000,-9.5000,0.651905
-9.8000,-9.4000,0.383290
-9.8000,-9.3000,0.361339
-9.8000,-9.2000,0.342081
-9.8000,-9.1000,0.473823
-9.8000,-9.0000,0.142819
-9.8000,-8.9000,0.316620
-9.8000,-8.8000,-0.077331
-9.8000,-8.7000,0.462752
-9.8000,-8.6000,0.121017
-9.8000,-8.5000,0.578409
-9.8000,-8.4000,0.051767
-9.8000,-8.3000,0.684583
-9.8000,-8.2000,0.310286
-9.8000,-8.1000,0.449242
-9.8000,-8.0000,0.128430
-9.8000,-7.9000,0.153988
-9.8000,-7.8000,0.338743
-9.8000,-7.7000,-0.121529
-9.8000,-7.6000,0.177366
-9.8000,-7.5000,0.402801
-9.8000,-7.4000,0.417631
-9.8000,-7.3000,0.169230
-9.8000,-7.2000,0.552699
-9.8000,-7.1000,0.423028
-9.8000,-7.0000,0.588966
-9.8000,-6.9000,0.275678
-9.8000,-6.8000,0.348125
-9.8000,-6.7000,0.428627
-9.8000,-6.6000,0.025194
-9.8000,-6.5000,0.268648
-9.8000,-6.4000,-0.081138
-9.8000,-6.3000,0.244367
-9.8000,-6.2000,0.058609
-9.8000,-6.1000,0.046219
-9.8000,-6.0000,0.215911
-9.8000,-5.9000,0.251078
-9.8000,-5.8000,-0.006457
-9.8000,-5.7000,0.434058
-9.8000,-5.6000,-0.062804
-9.8000,-5.5000,0.432979
-9.8000,-5.4000,0.521683
-9.8000,-5.3000,-0.040750
-9.8000,-5.2000,0.392487
-9.8000,-5.1000,0.396475
-9.8000,-5.0000,0.183626
-9.8000,-4.9000,0.508413
-9.8000,-4.8000,0.677381
-9.8000,-4.7000,0.324788
-9.8000,-4.6000,0.582488
-9.8000,-4.5000,0.106920
-9.8000,-4.4000,0.473026
-9.8000,-4.3000,-0.123172
-9.8000,-4.2000,0.264231
-9.8000,-4.1000,0.457818
-9.8000,-4.0000,0.653736
-9.8000,-3.9000,0.084506
-9.8000,-3.8000,0.680542
-9.8000,-3.7000,0.372576
-9.8000,-3.6000,-0.159692
-9.8000,-3.5000,0.285386
-9.8000,-3.4000,0.287356
-9.8000,-3.3000,0.004729
-9.8000,-3.2000,0.736714
-9.8000,-3.1000,0.544508
-9.8000,-3.0000,0.547096
-9.8000,-2.9000,0.044717
-9.8000,-2.8000,0.501168
-9.8000,-2.7000,-0.026294
-9.8000,-2.6000,0.536823
-9.8000,-2.5000,0.355865
-9.8000,-2.4000,0.189624
-9.8000,-2.3000,0.359210
-9.8000,-2.2000,0.138636
-9.8000,-2.1000,0.336058
-9.8000,-2.0000,0.067377
-9.8000,-1.9000,-0.018985
-9.8000,-1.8000,0.625444
-9.8000,-1.7000,0.414880
-9.8000,-1.6000,0.366529
-9.8000,-1.5000,0.181241
-9.8000,-1.4000,0.263157
-9.8000,-1.3000,-0.175985
-9.8000,-1.2000,0.016738
-9.8000,-1.1000,0.356555
-9.8000,-1.0000,0.541726
-9.8000,-0.9000,0.678788
-9.8000,-0.8000,0.127317
-9.8000,-0.7000,0.133608
-9.8000,-0.6000,0.457280
-9.8000,-0.5000,0.691991
-9.8000,-0.4000,0.397503
-9.8000,-0.3000,0.768493
-9.8000,-0.2000,-0.056962
-9.8000,-0.1000,0.632620
-9.8000,0.0000,0.022519
-9.8000,0.1000,-0.394668
-9.8000,0.2000,0.110278
-9.8000,0.3000,-0.375140
-9.8000,0.4000,-0.266406
-9.8000,0.5000,-0.016591
-9.8000,0.6000,-0.502172
-9.8000,0.7000,-0.124229
-9.8000,0.8000,-0.536779
-9.8000,0.9000,-0.166055
-9.8000,1.0000,-0.031850
-9.8000,1.1000,-0.638020
-9.8000,1.2000,-0.345865
-9.8000,1.3000,-0.541626
-9.8000,1.4000,-0.382668
-9.8000,1.5000,-0.314815
-9.8000,1.6000,-0.211699
-9.8000,1.7000,-0.130329
-9.8000,1.8000,-0.274091
-9.8000,1.9000,-0.571549
-9.8000,2.0000,0.002643
-9.8000,2.1000,-0.035306
-9.8000,2.2000,-0.422171
-9.8000,2.3000,-0.401138
-9.8000,2.4000,0.022569
-9.8000,2.5000,-0.258733
-9.8000,2.6000,0.009470
-9.8000,2.7000,-0.020946
-9.8000,2.8000,-0.637165
-9.8000,2.9000,-0.546280
-9.8000,3.0000,-0.407699
-9.8000,3.1000,-0.385337
-9.8000,3.2000,-0.213663
-9.8000,3.3000,0.164294
-9.8000,3.4000,-0.179692
-9.8000,3.5000,-0.411512
-9.8000,3.6000,-0.040825
-9.8000,3.7000,-0.627780
-9.8000,3.8000,-0.294720
-9.8000,3.9000,-0.422550
-9.8000,4.0000,-0.621527
-9.8000,4.1000,0.134800
-9.8000,4.2000,-0.074515
-9.8000,4.3000,-0.099657
-9.8000,4.4000,-0.515208
-9.8000,4.5000,0.037740
-9.8000,4.6000,-0.003078
-9.8000,4.7000,-0.225369
-9.8000,4.8000,-0.217985
-9.8000,4.9000,-0.519646
-9.8000,5.0000,-0.453469
-9.8000,5.1000,0.084693
-9.8000,5.2000,-0.065257
-9.8000,5.3000,0.000921
-9.8000,5.4000,-0.132572
-9.8000,5.5000,-0.364578
-9.8000,5.6000,0.083000
-9.8000,5.7000,-0.072247
-9.8000,5.8000,-0.126512
-9.8000,5.9000,-0.674220
-9.8000,6.0000,-0.320982
-9.8000,6.1000,-0.593218
-9.8000,6.2000,-0.432392
-9.8000,6.3000,-0.127466
-9.8000,6.4000,-0.202835
-9.8000,6.5000,-0.086375
-9.8000,6.6000,0.019096
-9.8000,6.7000,0.114720
-9.8000,6.8000,-0.501989
-9.8000,6.9000,-0.618750
-9.8000,7.0000,-0.138220
-9.8000,7.1000,-0.248484
-9.8000,7.2000,-0.334919
-9.8000,7.3000,-0.604815
-9.8000,7.4000,-0.486159
-9.8000,7.5000,-0.519630
-9.8000,7.6000,0.018795
-9.8000,7.7000,-0.463797
-9.8000,7.8000,-0.546478
-9.8000,7.9000,-0.320595
-9.8000,8.0000,-0.371089
-9.8000,8.1000,0.039943
-9.8000,8.2000,-0.516084
-9.8000,8.3000,-0.740626
-9.8000,8.4000,-0.099176
-9.8000,8.5000,-0.658902
-9.8000,8.6000,0.040906
-9.8000,8.7000,-0.643687
-9.8000,8.8000,0.067383
-9.8000,8.9000,-0.433369
-9.8000,9.0000,-0.519393
-9.8000,9.1000,-0.347551
-9.8000,9.2000,0.076769
-9.8000,9.3000,-0.582095
-9.8000,9.4000,-0.589063
-9.8000,9.5000,-0.601012
-9.8000,9.6000,-0.711845
-9.8000,9.7000,-0.571504
-9.8000,9.8000,-0.586261
-9.8000,9.9000,-0.698785
-9.8000,10.0000,-0.531102
-9.7000,-10.0000,0.375905
-9.7000,-9.9000,0.317331
-9.7000,-9.8000,0.252353
-9.7000,-9.7000,0.449497
-9.7000,-9.6000,0.512779
-9.7000,-9.5000,0.038274
-9.7000,-9.4000,0.027999
-9.7000,-9.3000,0.238036
-9.7000,-9.2000,0.527282
-9.7000,-9.1000,0.351308
-9.7000,-9.0000,0.621880
-9.7000,-8.9000,0.082926
-9.7000,-8.8000,0.514737
-9.7000,-8.7000,0.182801
-9.7000,-8.6000,0.155186
-9.7000,-8.5000,0.337581
-9.7000,-8.4000,0.041837
-9.7000,-8.3000,0.100656
-9.7000,-8.2000,0.103892
-9.7000,-8.1000,0.098691
-9.7000,-8.0000,0.599246
-9.7000,-7.9000,0.554880
-9.7000,-7.8000,0.619365
-9.7000,-7.7000,0.193689
-9.7000,-7.6000,0.379015
-9.7000,-7.5000,0.790620
-9.7000,-7.4000,0.341080
-9.7000,-7.3000,0.132026
-9.7000,-7.2000,0.015371
-9.7000,-7.1000,0.087984
-9.7000,-7.0000,0.022197
-9.7000,-6.9000,0.136180
-9.7000,-6.8000,0.173982
-9.7000,-6.7000,0.507525
-9.7000,-6.6000,0.232038
-9.7000,-6.5000,0.052297
-9.7000,-6.4000,0.625827
-9.7000,-6.3000,0.295528
-9.7000,-6.2000,0.493042
-9.7000,-6.1000,0.558755
-9.7000,-6.0000,-0.110372
-9.7000,-5.9000,0.368076
-9.7000,-5.8000,0.243265
-9.7000,-5.7000,0.084853
-9.7000,-5.6000,0.094486
-9.7000,-5.5000,0.277587
-9.7000,-5.4000,0.605646
-9.7000,-5.3000,0.551283
-9.7000,-5.2000,0.663487
-9.7000,-5.1000,0.357139
-9.7000,-5.0000,0.045263
-9.7000,-4.9000,0.617101
-9.7000,-4.8000,0.157563
-9.7000,-4.7000,-0.008869
-9.7000,-4.6000,0.284655
-9.7000,-4.5000,0.660109
-9.7000,-4.4000,-0.024187
-9.7000,-4.3000,0.445683
-9.7000,-4.2000,0.405114
-9.7000,-4.1000,-0.010642
-9.7000,-4.0000,0.249078
-9.7000,-3.9000,0.090798
-9.7000,-3.8000,0.264206
-9.7000,-3.7000,0.497088
-9.7000,-3.6000,0.703946
-9.7000,-3.5000,-0.002690
-9.7000,-3.4000,0.358656
-9.7000,-3.3000,0.455785
-9.7000,-3.2000,0.203960
-9.7000,-3.1000,0.406578
-9.7000,-3.0000,-0.009525
-9.7000,-2.9000,0.529934
-9.7000,-2.8000,0.235659
-9.7000,-2.7000,0.452517
-9.7000,-2.6000,0.136663
-9.7000,-2.5000,0.540117
-9.7000,-2.4000,0.392448
-9.7000,-2.3000,0.604053
-9.7000,-2.2000,0.667885
-9.7000,-2.1000,0.288583
-9.7000,-2.0000,0.088737
-9.7000,-1.9000,0.252052
-9.7000,-1.8000,0.080731
-9.7000,-1.7000,0.073956
-9.7000,-1.6000,0.638532
-9.7000,-1.5000,0.196593
-9.7000,-1.4000,0.132116
-9.7000,-1.3000,0.171276
-9.7000,-1.2000,0.130993
-9.7000,-1.1000,0.589502
-9.7000,-1.0000,0.025068
-9.7000,-0.9000,0.488836
-9.7000,-0.8000,0.505426
-9.7000,-0.7000,0.644880
-9.7000,-0.6000,0.537251
-9.7000,-0.5000,0.242304
-9.7000,-0.4000,0.030871
-9.7000,-0.3000,0.732964
-9.7000,-0.2000,0.092945
-9.7000,-0.1000,0.090318
-9.7000,0.0000,0.054508
-9.7000,0.1000,-0.717451
-9.7000,0.2000,-0.102349
-9.7000,0.3000,-0.629859
-9.7000,0.4000,0.089877
-9.7000,0.5000,-0.116925
-9.7000,0.6000,-0.130782
-9.7000,0.7000,-0.030583
-9.7000,0.8000,-0.392263
-9.7000,0.9000,-0.541911
-9.7000,1.0000,-0.029971
-9.7000,1.1000,-0.423841
-9.7000,1.2000,-0.235665
-9.7000,1.3000,-0.477054
-9.7000,1.4000,-0.539397
-9.7000,1.5000,-0.329427
-9.7000,1.6000,-0.640820
-9.7000,1.7000,-0.110533
-9.7000,1.8000,-0.565122
-9.7000,1.9000,-0.241195
-9.7000,2.0000,-0.126801
-9.7000,2.1000,-0.107738
-9.7000,2.2000,-0.416391
-9.7000,2.3000,0.081123
-9.7000,2.4000,-0.538920
-9.7000,2.5000,-0.081167
-9.7000,2.6000,-0.374277
-9.7000,2.7000,0.139504
-9.7000,2.8000,-0.422744
-9.7000,2.9000,-0.367331
-9.7000,3.0000,0.040679
-9.7000,3.1000,-0.132150
-9.7000,3.2000,-0.687212
-9.7000,3.3000,-0.581436
-9.7000,3.4000,-0.415887
-9.7000,3.5000,0.016954
-9.7000,3.6000,-0.466627
-9.7000,3.7000,0.069055
-9.7000,3.8000,-0.490272
-9.7000,3.9000,-0.242903
-9.7000,4.0000,-0.553805
-9.7000,4.1000,0.008115
-9.7000,4.2000,-0.633760
-9.7000,4.3000,-0.375181
-9.7000,4.4000,-0.408469
-9.7000,4.5000,0.102537
-9.7000,4.6000,-0.275889
-9.7000,4.7000,-0.555607
-9.7000,4.8000,-0.251841
-9.7000,4.9000,0.059717
-9.7000,5.0000,-0.366464
-9.7000,5.1000,-0.558820
-9.7000,5.2000,-0.420065
-9.7000,5.3000,-0.607974
-9.7000,5.4000,-0.505338
-9.7000,5.5000,-0.234829
-9.7000,5.6000,-0.631927
-9.7000,5.7000,-0.016452
-9.7000,5.8000,-0.179616
-9.7000,5.9000,-0.658143
-9.7000,6.0000,-0.098276
-9.7000,6.1000,0.149809
-9.7000,6.2000,-0.576619
-9.7000,6.3000,-0.286650
-9.7000,6.4000,-0.170743
-9.7000,6.5000,-0.079133
-9.7000,6.6000,-0.395612
-9.7000,6.7000,-0.419540
-9.7000,6.8000,-0.116644
-9.7000,6.9000,-0.361272
-9.7000,7.0000,0.041739
-9.7000,7.1000,-0.399616
-9.7000,7.2000,0.031435
-9.7000,7.3000,-0.483034
-9.7000,7.4000,0.001960
-9.7000,7.5000,-0.276894
-9.7000,7.6000,-0.499604
-9.7000,7.7000,-0.036278
-9.7000,7.8000,-0.206121
-9.7000,7.9000,-0.351173
-9.7000,8.0000,-0.329145
-9.7000,8.1000,-0.163805
-9.7000,8.2000,-0.556142
-9.7000,8.3000,0.080951
-9.7000,8.4000,-0.642388
-9.7000,8.5000,-0.698726
-9.7000,8.6000,-0.334050
-9.7000,8.7000,-0.634931
-9.7000,8.8000,0.092088
-9.7000,8.9000,-0.354781
-9.7000,9.0000,-0.059246
-9.7000,9.1000,-0.595026
-9.7000,9.2000,-0.685327
-9.7000,9.3000,-0.093169
-9.7000,9.4000,-0.716614
-9.7000,9.5000,0.152778
-9.7000,9.6000,-0.490680
-9.7000,9.7000,-0.036339
-9.7000,9.8000,-0.133683
-9.7000,9.9000,-0.477361
-9.7000,10.0000,0.066934
-9.6000,-10.0000,0.022739
-9.6000,-9.9000,0.700352
-9.6000,-9.8000,0.531421
-9.6000,-9.7000,0.010666
-9.6000,-9.6000,-0.089279
-9.6000,-9.5000,0.592475
-9.6000,-9.4000,0.052589
-9.6000,-9.3000,0.199532
-9.6000,-9.2000,-0.086065
-9.6000,-9.1000,0.056474
-9.6000,-9.0000,0.390409
-9.6000,-8.9000,0.424681
-9.6000,-8.8000,0.424490
-9.6000,-8.7000,0.402257
-9.6000,-8.6000,0.106116
-9.6000,-8.5000,-0.095432
-9.6000,-8.4000,0.759718
-9.6000,-8.3000,0.627751
